Version 1 — Module Opérationnel (priorité absolue),,,,,,,,,,,,,
"Périmètre : Pharmacies, Contacts, Candidats, Missions, Offres d'emploi, Matching IA, Candidatures site et Assistant IA. C'est la version qui permet de travailler au quotidien. Contenu issu du document LOGICIEL_MEDIJOB et du brief candidats.",,,,,,,,,,,,,
ID,Module,Pôle CRM,Élément de dev,Fonctionnalité,Description,Type,Priorité,Complexité,Charge (j),Dépendances,Responsable,Statut,Commentaires
V1-031,1. Opérationnel,Candidats,Liste candidats,Vue rapide candidat,"Aperçu latéral : coordonnées, métier, disponibilités, résumé IA, dernière action.",Fonction,P1,M,2,,,À faire,
V1-032,1. Opérationnel,Candidats,Fiche candidat,Coordonnées,"Téléphone, e-mail, adresse, ville, code postal.",Champ,P1,S,2,,,À faire,
V1-033,1. Opérationnel,Candidats,Fiche candidat,Profil professionnel,"Métier, logiciels maîtrisés, disponibilités, mobilité géographique, notes d'entretien.",Champ,P1,M,3,,,À faire,
V1-034,1. Opérationnel,Candidats,Fiche candidat,Résumé IA du profil,Génération automatique d'un résumé propre du profil à partir des notes d'entretien et des éléments du CV.,Fonction,P1,L,4,,,À faire,
V1-035,1. Opérationnel,Candidats,Création,Création automatique par dépôt de CV,"Le dépôt d'un CV déclenche l'extraction IA et crée la fiche candidat : nom, coordonnées, métier, expériences, formations.",Intégration,P1,XL,6,,,À faire,
V1-036,1. Opérationnel,Candidats,Fiche candidat,Bloc Historique complet,"Missions réalisées, entretiens effectués, actions menées par les recruteurs, échanges importants.",Écran,P1,L,4,,,À faire,
V1-037,1. Opérationnel,Candidats,Fiche candidat,Dossier candidat anonymisé,Bouton générant un dossier de présentation anonymisé (PDF) prêt à être envoyé au client.,Fonction,P1,L,4,,,À faire,
V1-038,1. Opérationnel,Candidats,Fiche candidat,Documents candidat,"CV, pièce d'identité, diplôme, RIB, attestations.",Fonction,P1,M,2,,,À faire,
V1-039,1. Opérationnel,Candidats,Fiche candidat,Statut candidat,Nouveau / À qualifier / Qualifié / En mission / Inactif / Blacklisté.,Règle métier,P1,S,1,,,À faire,
V1-040,1. Opérationnel,Candidats,Import,Import en masse,Import CSV/Excel de la CVthèque existante avec dédoublonnage sur email et téléphone.,Fonction,P1,L,3,,,À faire,
,1. Opérationnel,Pharmacies,Map,Vue map sur le CRM,"Ajouter une vue Map sur le cRM pour localiser les officines que nous avons et filtrer les différents états. Clients, en contact, partenaire... ",Fonction,P1,,,,,À faire,
,1. Opérationnel,Candidats,Map,Vue map sur le CRM,"Ajouter une vue Map sur le cRM pour localiser les candidats que nous avons en base par ville, département et localisations ",Fonction,P1,,,,,À faire,
,1. Opérationnel,Candidats,Map,Vue map sur le CRM,"Ajouter une vue Map sur le cRM pour localiser les missions que nous avons en CDD, CDI et intérim",Fonction,P1,,,,,À faire,
V1-041,4. Planning,Missions,Liste missions,Colonnes de la vue liste,"Affichage : intitulé du poste, type de poste / métier recherché, pharmacie concernée, ville, statut, recruteur référent, date de création, bouton vue rapide.",Écran,P1,M,3,,,À faire,
V1-042,4. Planning,Missions,Liste missions,Filtres et recherche,"Filtres : type de contrat, statut, métier, ville, département, pharmacie, recruteur, période.",Fonction,P1,M,3,,,À faire,
V1-043,4. Planning,Missions,Fiche mission,Champs descriptifs,"Intitulé du poste, description de la mission, notes internes, profil recherché.",Champ,P1,S,2,,,À faire,
V1-044,4. Planning,Missions,Fiche mission,Conditions du poste,"Salaire / rémunération proposée, nombre d'heures par semaine, planning, date de début, date de fin, temps plein ou temps partiel.",Champ,P1,M,3,,,À faire,
V1-045,4. Planning,Missions,Fiche mission,Rattachements,"Type de contrat (CDI, CDD, Intérim), pharmacie rattachée, contact rattaché, recruteur référent.",Champ,P1,M,2,,,À faire,
V1-046,4. Planning,Missions,Fiche mission,Statut de la mission,À pourvoir / En recherche / Candidats présentés / Entretien en cours / Pourvu / Annulée — alimente le bloc Besoins en cours de la pharmacie.,Règle métier,P1,M,3,,,À faire,
V1-047,4. Planning,Missions,Fiche mission,Candidats rattachés,Liste des candidats positionnés sur la mission avec leur étape dans le process de recrutement.,Écran,P1,M,3,,,À faire,
V1-048,4. Planning,Offres d'emploi,Génération IA,Rédaction automatique de l'annonce,"L'IA reprend les données de la mission (poste, type de contrat, ville, planning, rémunération, logiciel, avantages, description de la pharmacie, profil recherché) et produit une annonce professionnelle et attractive.",Fonction,P1,L,5,,,À faire,
V1-049,4. Planning,Offres d'emploi,Publication,Cycle de vie de l'offre,"Modifier, valider, publier sur le site, dépublier une fois le poste pourvu — rattachement automatique à la mission d'origine.",Fonction,P1,L,4,,,À faire,
V1-050,4. Planning,Offres d'emploi,Publication,Diffusion sur le site Medijob,"Flux automatique vers le site internet, sans double saisie.",Intégration,P1,L,4,,,À faire,
V1-051,4. Planning,Offres d'emploi,Liste offres,Gestion centralisée,"Vue de toutes les offres créées, indicateur publiée/non publiée, mission rattachée, nombre de candidatures reçues.",Écran,P1,M,3,,,À faire,
V1-052,4. Planning,Offres d'emploi,Liste offres,Actions sur les offres,"Modifier, publier, dépublier, supprimer directement depuis la liste.",Fonction,P1,M,2,,,À faire,
V1-053,1. Opérationnel,Matching IA,Moteur,Suggestion de profils par mission,"On sélectionne une mission, l'IA remonte automatiquement les candidats qui correspondent le mieux au besoin, classés par pertinence.",Fonction,P1,XL,6,,,À faire,
V1-054,1. Opérationnel,Matching IA,Moteur,Critères de matching,"Métier, ville, mobilité, distance avec la pharmacie, disponibilités, type de contrat recherché, logiciels maîtrisés, expériences, prétentions salariales, notes d'entretien.",Règle métier,P1,XL,6,,,À faire,
V1-055,1. Opérationnel,Matching IA,Actions,Sélection et contact direct,"Sélection multiple de candidats puis envoi d'un SMS, d'un email ou d'un message WhatsApp depuis l'écran de matching.",Fonction,P1,L,4,,,À faire,
V1-056,1. Opérationnel,Matching IA,Actions,Rattachement à la mission,Rattacher les candidats retenus à la mission et les faire entrer dans le process de recrutement.,Fonction,P1,M,3,,,À faire,
V1-057,1. Opérationnel,Candidatures site,Réception,Liste des candidatures reçues,"Nom et prénom, métier, téléphone, email, ville, CV, offre concernée, date de candidature, message éventuel du candidat.",Écran,P1,L,4,,,À faire,
V1-058,1. Opérationnel,Candidatures site,Traitement,Acceptation de la candidature,"Le profil est automatiquement créé ou rattaché dans la CVthèque, avec récupération du CV.",Fonction,P1,M,3,,,À faire,
V1-059,1. Opérationnel,Candidatures site,Traitement,Refus de la candidature,"Suppression ou archivage de la candidature, avec conservation d'une trace pour statistiques.",Fonction,P1,S,2,,,À faire,
V1-060,1. Opérationnel,Candidatures site,Qualité,Détection de doublons,"Contrôle automatique de l'existence du candidat dans la CVthèque (email, téléphone, nom) avant création.",Règle métier,P1,M,3,,,À faire,
V1-061,1. Opérationnel,Assistant IA,Résumés,Résumé de fiche,Résumer une fiche candidat ou une fiche pharmacie à la demande.,Fonction,P1,M,3,,,À faire,
V1-062,1. Opérationnel,Assistant IA,Rédaction,Rédaction de messages,Rédiger un mail à un candidat ou à une pharmacie à partir du contexte de la fiche.,Fonction,P1,M,3,,,À faire,
V1-063,1. Opérationnel,Assistant IA,Rédaction,Préparation de présentation candidat,Générer la présentation d'un candidat destinée à un client à partir de sa fiche.,Fonction,P1,M,3,,,À faire,
V1-064,1. Opérationnel,Assistant IA,Analyse,Identification des meilleurs profils,Demander à l'assistant les profils les plus pertinents pour une mission donnée.,Fonction,P2,M,3,,,À faire,
V1-065,1. Opérationnel,Assistant IA,Reporting,Compte rendu hebdomadaire,"Résumé par recruteur : missions ouvertes, missions pourvues, candidats contactés, candidatures reçues, offres publiées, actions commerciales, points bloquants, priorités de la semaine suivante.",Automatisation,P1,L,5,,,À faire,
V1-066,3. Dashboard,Dashboard,KPI opérationnels,Barre de KPI temps réel,"Missions à pourvoir, missions urgentes (<48h), candidatures à traiter, taux de remplissage.",Écran,P1,M,3,,,À faire,
V1-067,3. Dashboard,Dashboard,Alertes,Centre d'alertes,"Missions non couvertes, candidatures non traitées, relances en retard.",Écran,P1,M,2,,,À faire,
,1. Opérationnel,Candidats,Entretiens,Fiche d'entretien ,insérer la fiche d'entretien dans la création des candidats ou dans la fiche candidat pour mettre à jours les informations en te servant du lien ci-joint. idéalement intégrer ces infos directement dans le CRM avec la possibilité de modifier les question dans le back officie quans présenté sur l'outil. Possibilité de refaire l'UI,Intégration,,,,,,,https://medijob-eval.netlify.app/
,3. Dashboard,Finance,Tableau de suivi de performance ,Suivi performance MEDIJOB,"Ajouter le tableau de suivi des performances comme dans le lien ci-joint. Pour la parrie Devis,gérer dans un onglet différent appelé factuation et sous onglet devis",Intégration,,,,,,,https://op-medijob.netlify.app
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,TOTAL,201,,,,
,,,,,,,,Nb fonct.,72,,,,
